date,value
2020-03-01,1428
2020-03-02,1555
2020-03-03,1488
2020-03-04,1503
2020-03-05,1548
2020-03-06,1578
2020-03-07,1457
2020-03-08,1524
2020-03-09,1603
2020-03-10,1558
2020-03-11,1569
2020-03-12,1607
2020-03-13,1584
2020-03-14,1476
2020-03-15,1439
2020-03-16,1471
2020-03-17,1333
2020-03-18,1343
2020-03-19,1324
2020-03-20,1242
2020-03-21,1077
2020-03-22,947
2020-03-23,790
2020-03-24,602
2020-03-25,491
2020-03-26,456
2020-03-27,439
2020-03-28,322
2020-03-29,296
2020-03-30,278
2020-03-31,334
